au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.4,0.4,0.65,0.65,0.3,0.3,0.1,0,0.05,0.1,0.45,0.45,1,0.4,0.1,0.1,58,frame.00058.jpg,0.00331118,0.671220958,0.009634958,0.000346629,0.001226724,0.1972877,0.002117624,0.114854217
0.4,0.4,0.65,0.65,0.3,0.3,0.1,0,0.05,0.1,0.45,0.45,1,0.4,0.1,0.1,59,frame.00059.jpg,0.00331118,0.671220958,0.009634958,0.000346629,0.001226724,0.1972877,0.002117624,0.114854217
0.293851,0.293851,0.63217,0.63217,0.418154,0.418154,0.382789,0.405674,0.0798342,0.423356,0.211415,0.211415,0.420229,0.516971,0.0582499,0.0582499,60,frame.00060.jpg,0.004447428,0.9085957,0.019694476,0.000580084,0.002266562,0.03124759,0.00065795,0.032510236
0.336043,0.336043,0.912117,0.912117,0.720093,0.720093,0.816105,0.960124,0.144019,0.912117,0.0960124,0.0960124,0.0960124,0.864111,0.0480062,0.0480062,61,frame.00061.jpg,0.006463109,0.956094265,0.009967877,0.00063335,0.00547289,0.016158074,0.000964343,0.004246083
0.35,0.35,0.95,0.95,0.75,0.75,0.85,1,0.15,0.95,0.1,0.1,0.1,0.9,0.05,0.05,62,frame.00062.jpg,0.006416274,0.9585747,0.008734108,0.000448608,0.004068374,0.018283179,0.000940829,0.002533943
0.35,0.35,0.95,0.95,0.75,0.75,0.85,1,0.15,0.95,0.1,0.1,0.1,0.9,0.05,0.05,63,frame.00063.jpg,0.006416274,0.9585747,0.008734108,0.000448608,0.004068374,0.018283179,0.000940829,0.002533943
0.35,0.35,0.95,0.95,0.75,0.75,0.85,1,0.15,0.95,0.1,0.1,0.1,0.9,0.05,0.05,64,frame.00064.jpg,0.006416274,0.9585747,0.008734108,0.000448608,0.004068374,0.018283179,0.000940829,0.002533943
0.374673,0.374673,0.751434,0.751434,0.535397,0.535397,0.528093,0.632459,0.0907986,0.832839,0.318314,0.318314,0.0605324,0.558359,0.0438336,0.0438336,65,frame.00065.jpg,0.003574443,0.9176372,0.020128338,0.000485065,0.001978988,0.024573315,0.000565003,0.031057598
0.594555,0.594555,0.644101,0.644101,0.297277,0.297277,0.0495462,0.0990924,0,0.941378,0.941378,0.941378,0,0.0495462,0.0495462,0.0495462,66,frame.00066.jpg,0.009192888,0.9274298,0.015380764,0.00024418,0.001069898,0.030601813,0.001134299,0.014946369
0.6,0.6,0.65,0.65,0.3,0.3,0.05,0.1,0,0.95,0.95,0.95,0,0.05,0.05,0.05,67,frame.00067.jpg,0.010609264,0.8823264,0.010942489,0.000347535,0.00123755,0.033808645,0.002232375,0.058495708
0.6,0.6,0.65,0.65,0.3,0.3,0.05,0.1,0,0.95,0.95,0.95,0,0.05,0.05,0.05,68,frame.00068.jpg,0.010609264,0.8823264,0.010942489,0.000347535,0.00123755,0.033808645,0.002232375,0.058495708
0.556661,0.556661,0.521938,0.521938,0.202289,0.202289,0.0261106,0.356389,0.0304167,0.800269,0.724227,0.724227,0.288959,0.299861,0.0261106,0.0261106,69,frame.00069.jpg,0.006178031,0.8946435,0.012775943,0.000269789,0.001034646,0.022554547,0.000562597,0.061980985
0.798164,0.798164,0.598623,0.598623,0.149656,0.149656,0,0.997704,0.0997704,0.997704,0.748278,0.748278,0.947819,0.897934,0,0,70,frame.00070.jpg,0.005553021,0.932678342,0.018784141,0.00057619,0.003108781,0.002475628,0.000171202,0.036652703
0.8,0.8,0.6,0.6,0.15,0.15,0,1,0.1,1,0.75,0.75,0.95,0.9,0,0,71,frame.00071.jpg,0.04357265,0.8964241,0.018447287,0.003159214,0.009532443,0.009183178,0.002653661,0.01702745
0.8,0.8,0.6,0.6,0.15,0.15,0,1,0.1,1,0.75,0.75,0.95,0.9,0,0,72,frame.00072.jpg,0.04357265,0.8964241,0.018447287,0.003159214,0.009532443,0.009183178,0.002653661,0.01702745
0.754353,0.754353,0.565765,0.565765,0.141441,0.141441,0,0.942941,0.0942941,0.942941,0.707206,0.707206,0.895794,0.848647,0,0,73,frame.00073.jpg,0.00412945,0.893737435,0.020426016,0.000622829,0.002293583,0.001891081,0.000116993,0.07678264
0.270708,0.270708,0.578157,0.578157,0.317097,0.317097,0.600201,0.6835,0.611532,0.203339,0.475113,0.475113,0.197674,0.492109,0,0,74,frame.00074.jpg,0.000720582,0.868255556,0.010979955,8.36E-05,0.0003665,0.001117031,1.12E-05,0.118465513
0.298726,0.298726,0.846391,0.846391,0.497877,0.497877,0.995754,0.945967,0.995754,0.149363,0.64724,0.64724,0.149363,0.64724,0,0,75,frame.00075.jpg,0.00057856,0.788513064,0.010507568,9.77E-05,0.000317025,0.001116097,1.17E-05,0.198858231
0.3,0.3,0.85,0.85,0.5,0.5,1,0.95,1,0.15,0.65,0.65,0.15,0.65,0,0,76,frame.00076.jpg,0.000791926,0.8272305,0.01285782,9.20E-05,0.000336829,0.000669337,6.91E-06,0.15801467
0.3,0.3,0.85,0.85,0.5,0.5,1,0.95,1,0.15,0.65,0.65,0.15,0.65,0,0,77,frame.00077.jpg,0.000791926,0.8272305,0.01285782,9.20E-05,0.000336829,0.000669337,6.91E-06,0.15801467
0.3,0.3,0.85,0.85,0.5,0.5,1,0.95,1,0.15,0.65,0.65,0.15,0.65,0,0,78,frame.00078.jpg,0.000791926,0.8272305,0.01285782,9.20E-05,0.000336829,0.000669337,6.91E-06,0.15801467
