au_1_left, au_1_right, au_2_left, au_2_right, au_4_left, au_4_right, au_5, au_6, au_7, au_10, au_12_left, au_12_right, au_25, au_26, au_45_left, au_45_rightframe,,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.761854,0.761854,0.80947,0.80947,0.190464,0.190464,0.857086,0.0952318,0.904702,0.80947,0.333311,0.333311,0.0476159,0.0952318,0.142848,0.142848,96,frame.00096.jpg,0.005889472,0.9211098,0.010453738,7.77E-05,0.000453152,0.000400627,2.36E-05,0.06159198
0.375703,0.375703,0.315675,0.315675,0.364938,0.364938,0.306067,0.106838,0.775459,0.340885,0.109222,0.109222,0.0408136,0.258101,0.551019,0.551019,97,frame.00097.jpg,0.00750117,0.867972851,0.022751072,0.000552097,0.001076889,0.000673512,5.28E-05,0.099419616
0.228072,0.228072,0.0912286,0.0912286,0.547372,0.547372,0.0456143,0.136843,0.866672,0.136843,0,0,0.0456143,0.410529,0.912286,0.912286,98,frame.00098.jpg,0.013514199,0.7901809,0.021425016,0.001848341,0.003370482,0.003238688,0.000372713,0.166049644
0.25,0.25,0.1,0.1,0.6,0.6,0.05,0.15,0.95,0.15,0,0,0.05,0.45,1,1,99,frame.00099.jpg,0.013764248,0.9048224,0.011532025,0.00107901,0.002966101,0.00204024,0.000267921,0.06352802
0.25,0.25,0.1,0.1,0.6,0.6,0.05,0.15,0.95,0.15,0,0,0.05,0.45,1,1,100,frame.00100.jpg,0.013764248,0.9048224,0.011532025,0.00107901,0.002966101,0.00204024,0.000267921,0.06352802
0.25,0.25,0.1,0.1,0.6,0.6,0.05,0.15,0.95,0.15,0,0,0.05,0.45,1,1,101,frame.00101.jpg,0.013764248,0.9048224,0.011532025,0.00107901,0.002966101,0.00204024,0.000267921,0.06352802
0.25,0.25,0.1,0.1,0.6,0.6,0.05,0.15,0.95,0.15,0,0,0.05,0.45,1,1,102,frame.00102.jpg,0.013764248,0.9048224,0.011532025,0.00107901,0.002966101,0.00204024,0.000267921,0.06352802
0.25,0.25,0.1,0.1,0.6,0.6,0.05,0.15,0.95,0.15,0,0,0.05,0.45,1,1,103,frame.00103.jpg,0.013764248,0.9048224,0.011532025,0.00107901,0.002966101,0.00204024,0.000267921,0.06352802
0.465729,0.465729,0.110363,0.110363,0.383771,0.383771,0.0425266,0.10227,0.352431,0.507224,0.177168,0.177168,0.0172169,0.610526,0.774603,0.774603,104,frame.00104.jpg,0.033330116,0.8865323,0.018486224,0.001211265,0.003232233,0.001112247,0.000206764,0.055888873
0.682984,0.682984,0.137056,0.137056,0.323163,0.323163,0.0458382,0.0921355,0.0541007,0.818203,0.317655,0.317655,0.000459023,0.820957,0.780627,0.780627,105,frame.00105.jpg,0.06290706,0.906966,0.011055658,0.001167,0.002560299,0.001219026,0.000249609,0.013875367
0.75,0.75,0.15,0.15,0.35,0.35,0.05,0.1,0.05,0.9,0.35,0.35,0,0.9,0.85,0.85,106,frame.00106.jpg,0.06674059,0.9005229,0.009975953,0.001436532,0.002307394,0.0017798,0.000354784,0.016882066
0.74189,0.74189,0.148378,0.148378,0.346215,0.346215,0.0494593,0.0989186,0.0494593,0.890267,0.346215,0.346215,0,0.890267,0.840808,0.840808,107,frame.00107.jpg,0.07498951,0.8834235,0.015416497,0.001370093,0.002441846,0.001030368,0.000234036,0.02109413
0.65095,0.65095,0.326613,0.326613,0.0847762,0.0847762,0.00727288,0.0822778,0.0411389,0.808232,0.0509102,0.0509102,0.0677321,0.164778,0.225237,0.225237,108,frame.00108.jpg,0.005644216,0.955077946,0.006777117,0.000141395,0.000668883,0.009742755,0.000374225,0.021573464
0.8,0.8,0.45,0.45,0.05,0.05,0,0.1,0.05,1,0,0,0.1,0.05,0.15,0.15,109,frame.00109.jpg,0.03721199,0.941678941,0.007093517,0.000165254,0.00067875,0.005660593,0.000983729,0.006527249
0.8,0.8,0.45,0.45,0.05,0.05,0,0.1,0.05,1,0,0,0.1,0.05,0.15,0.15,110,frame.00110.jpg,0.03721199,0.941678941,0.007093517,0.000165254,0.00067875,0.005660593,0.000983729,0.006527249
