au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.4,0.45,0.1,0.95,0.15,0.95,0.3,0,0.6,0.75,0.65,0.65,0.05,0.7,0.15,0.2,85,frame.00085.jpg,0.004209951,0.8700723,0.017355016,0.000671404,0.001821051,0.006158109,0.000182762,0.0995294
0.4,0.45,0.1,0.95,0.15,0.95,0.3,0,0.6,0.75,0.65,0.65,0.05,0.7,0.15,0.2,86,frame.00086.jpg,0.004209951,0.8700723,0.017355016,0.000671404,0.001821051,0.006158109,0.000182762,0.0995294
0.4,0.45,0.1,0.95,0.15,0.95,0.3,0,0.6,0.75,0.65,0.65,0.05,0.7,0.15,0.2,87,frame.00087.jpg,0.004209951,0.8700723,0.017355016,0.000671404,0.001821051,0.006158109,0.000182762,0.0995294
0.396872,0.44648,0.0992179,0.94257,0.148827,0.94257,0.297654,0,0.595307,0.744134,0.644916,0.644916,0.0496089,0.694525,0.148827,0.198436,88,frame.00088.jpg,0.004613818,0.867949367,0.019535044,0.000625713,0.001587038,0.003691719,0.000134817,0.101862505
0.515298,0.382991,0.209408,0.614714,0.171906,0.368223,0.400694,0.303374,0.535936,0.556155,0.289864,0.574277,0.379637,0.593657,0.342554,0.28609,89,frame.00089.jpg,0.004509062,0.864696562,0.021865904,0.000351775,0.000847354,0.000640985,3.20E-05,0.107056327
0.896543,0.519051,0.424678,0.613424,0.283119,0,0.707797,0.754984,0.754984,0.660611,0.094373,0.80217,0.896543,0.80217,0.707797,0.519051,90,frame.00090.jpg,0.012641689,0.895480752,0.019350316,0.000573705,0.001459375,0.000415935,5.25E-05,0.07002572
0.95,0.55,0.45,0.65,0.3,0,0.75,0.8,0.8,0.7,0.1,0.85,0.95,0.85,0.75,0.55,91,frame.00091.jpg,0.005940911,0.902399063,0.016565936,0.000531194,0.001041356,0.000517941,3.67E-05,0.07296684
0.95,0.55,0.45,0.65,0.3,0,0.75,0.8,0.8,0.7,0.1,0.85,0.95,0.85,0.75,0.55,92,frame.00092.jpg,0.005940911,0.902399063,0.016565936,0.000531194,0.001041356,0.000517941,3.67E-05,0.07296684
0.95,0.55,0.45,0.65,0.3,0,0.75,0.8,0.8,0.7,0.1,0.85,0.95,0.85,0.75,0.55,93,frame.00093.jpg,0.005940911,0.902399063,0.016565936,0.000531194,0.001041356,0.000517941,3.67E-05,0.07296684
0.861484,0.498754,0.408071,0.589436,0.272048,0,0.680119,0.72546,0.72546,0.634778,0.0906825,0.770802,0.861484,0.770802,0.680119,0.498754,94,frame.00094.jpg,0.00536919,0.9032043,0.018676618,0.000416917,0.000788597,0.000486743,2.74E-05,0.07103019
0.275238,0.102253,0.485185,0.765395,0.245969,0.0774869,0.227489,0.0747667,0.345971,0.109007,0.353194,0.348222,0.352725,0.65817,0.731154,0.334714,95,frame.00095.jpg,0.004760695,0.876219034,0.017838253,0.000706027,0.001574274,0.00197854,6.43E-05,0.096858874
0.3,0.1,0.6,0.95,0.3,0.1,0.25,0.05,0.4,0.1,0.45,0.4,0.4,0.8,0.9,0.4,96,frame.00096.jpg,0.001352117,0.8621797,0.014049465,0.000277567,0.000680725,0.003291715,2.30E-05,0.118145712
0.3,0.1,0.6,0.95,0.3,0.1,0.25,0.05,0.4,0.1,0.45,0.4,0.4,0.8,0.9,0.4,97,frame.00097.jpg,0.001352117,0.8621797,0.014049465,0.000277567,0.000680725,0.003291715,2.30E-05,0.118145712
0.3,0.1,0.6,0.95,0.3,0.1,0.25,0.05,0.4,0.1,0.45,0.4,0.4,0.8,0.9,0.4,98,frame.00098.jpg,0.001352117,0.8621797,0.014049465,0.000277567,0.000680725,0.003291715,2.30E-05,0.118145712
0.3,0.1,0.6,0.95,0.3,0.1,0.25,0.05,0.4,0.1,0.45,0.4,0.4,0.8,0.9,0.4,99,frame.00099.jpg,0.001352117,0.8621797,0.014049465,0.000277567,0.000680725,0.003291715,2.30E-05,0.118145712
0.266525,0.0812278,0.53305,0.849325,0.335049,0.163457,0.257889,0.100001,0.411708,0.104069,0.424913,0.343184,0.370594,0.722915,0.813279,0.334048,100,frame.00100.jpg,0.002890018,0.8824947,0.015595261,0.000420184,0.001213312,0.002050692,4.31E-05,0.09529279
0.220468,0.00400764,0.440935,0.746785,0.845802,0.754409,0.510287,0.54396,0.808121,0.212452,0.559991,0.182786,0.43292,0.699084,0.78647,0.0994085,101,frame.00101.jpg,0.001914463,0.8712262,0.021196967,0.000720982,0.002259716,0.00217916,5.26E-05,0.100449942
0.25,0,0.5,0.85,1,0.9,0.6,0.65,0.95,0.25,0.65,0.2,0.5,0.8,0.9,0.1,102,frame.00102.jpg,0.003028168,0.885149,0.020194246,0.001571499,0.004620616,0.009112987,0.000160736,0.07616273
0.25,0,0.5,0.85,1,0.9,0.6,0.65,0.95,0.25,0.65,0.2,0.5,0.8,0.9,0.1,103,frame.00103.jpg,0.003028168,0.885149,0.020194246,0.001571499,0.004620616,0.009112987,0.000160736,0.07616273
0.25,0,0.5,0.85,1,0.9,0.6,0.65,0.95,0.25,0.65,0.2,0.5,0.8,0.9,0.1,104,frame.00104.jpg,0.003028168,0.885149,0.020194246,0.001571499,0.004620616,0.009112987,0.000160736,0.07616273
0.25,0,0.5,0.85,1,0.9,0.6,0.65,0.95,0.25,0.65,0.2,0.5,0.8,0.9,0.1,105,frame.00105.jpg,0.003028168,0.885149,0.020194246,0.001571499,0.004620616,0.009112987,0.000160736,0.07616273
0.235341,0.0484686,0.402825,0.681895,0.808074,0.703759,0.475635,0.536274,0.745011,0.196566,0.51204,0.157737,0.390708,0.664877,0.706182,0.0970444,106,frame.00106.jpg,0.00216857,0.8414073,0.023374809,0.000869539,0.001877163,0.002127467,4.97E-05,0.128125474
